file,top_codes,top_counts
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+12[0001].png,6048,6321,4436,2308,778,124,2583,297,6657,915,5,5,5,5,4,4,4,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+13[0001].png,352,4250,7948,781,6321,4376,6292,6657,1652,2226,6,6,5,5,5,5,4,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+14[0001].png,6795,2226,5741,5763,7091,958,4436,7442,3000,594,6,6,5,5,5,5,4,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+15[0001].png,2226,5937,216,3728,1842,2990,3619,1297,4480,7442,6,5,5,5,4,4,4,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+16[0001].png,516,6795,6121,7899,390,6045,5834,1654,3500,3619,7,7,6,6,6,6,5,5,5,5
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+17[0001].png,2226,3189,632,4143,3247,4559,4001,1836,215,7101,6,6,6,6,5,5,5,5,5,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+22[0001].png,215,3619,6048,4817,2967,1311,5741,5735,5671,2308,7,6,5,5,5,5,4,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+23[0001].png,6194,1813,6121,725,6321,3296,5741,3000,5603,3889,6,6,5,5,5,4,4,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+24[0001].png,6121,2226,516,1103,2557,1001,7591,1682,1652,3500,5,5,5,5,5,4,4,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+25[0001].png,3000,4436,725,6022,5780,2226,5741,215,2326,3526,7,6,6,5,5,5,5,5,5,5
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+26[0001].png,5741,267,5912,3088,7442,1911,215,5780,7175,725,6,5,5,5,5,5,5,5,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+27[0001].png,778,5937,5741,4160,516,7442,4311,7674,7604,725,7,6,6,6,5,5,5,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+2[0001].png,4436,3044,8013,3088,131,5716,4685,915,3433,3230,6,5,5,5,5,4,4,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+32[0001].png,2226,5780,162,594,4430,725,6628,3189,3526,3356,6,6,5,5,5,4,4,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+33[0001].png,7899,5561,3088,4377,553,1654,6191,5603,4376,958,5,5,5,5,4,4,4,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+34[0001].png,1813,7091,2308,5912,693,7249,3619,778,781,7948,7,6,5,5,5,5,5,5,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+35[0001].png,7899,6045,3442,7091,3000,3619,2308,7430,5610,1297,9,9,6,4,4,4,4,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+36[0001].png,2308,1813,5433,237,5741,7880,1652,5716,162,594,9,7,5,5,5,5,5,5,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+37[0001].png,958,5763,2226,7249,4311,7808,237,7091,297,5094,6,6,6,5,5,5,4,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+38[0001].png,7091,6795,7880,1654,5780,1911,5912,2278,8013,3526,7,7,7,5,5,5,5,5,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+3[0001].png,8013,2903,144,1654,4166,5810,8110,1460,5741,1624,5,5,5,5,4,4,4,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+44[0001].png,958,1911,8148,7249,4817,2686,6321,1311,1652,7948,6,5,4,4,4,4,4,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+45[0001].png,5741,4436,6856,2226,7337,778,5433,404,6795,2646,6,6,5,5,5,5,4,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+46[0001].png,5433,7134,6795,1418,3526,6045,3127,1813,4322,3619,7,7,6,6,5,5,5,5,5,5
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+47[0001].png,2226,2990,781,3088,5098,3836,7189,5428,5937,693,8,6,6,5,5,5,4,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+48[0001].png,216,352,1836,2226,5428,2990,1508,4436,7357,1652,7,6,5,5,5,4,4,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+4[0001].png,2226,6795,6321,4436,7249,3870,1911,7442,5999,725,9,7,6,6,6,6,5,5,5,5
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+55[0001].png,4559,5797,3088,1911,4001,6045,958,1476,5213,7835,6,6,5,5,5,5,5,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+56[0001].png,3889,5741,7360,1833,144,6321,1311,6190,4377,5561,7,5,5,5,5,5,4,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+57[0001].png,778,6121,6678,3526,1357,7674,781,4068,3030,1813,5,5,4,4,4,4,4,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+58[0001].png,2226,3836,778,1813,4654,2990,144,3024,5098,2194,6,6,6,6,5,5,5,5,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+5[0001].png,6045,7899,1652,215,958,2278,7091,2226,6321,5718,8,7,7,6,6,5,5,5,5,5
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+66[0001].png,4492,6321,7442,4143,2308,7899,1836,216,12,7134,6,6,6,5,5,5,5,5,5,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+67[0001].png,2990,3030,1911,7442,4311,1476,6321,6795,6226,5717,7,6,6,6,6,6,5,5,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+68[0001].png,5561,7134,6321,3526,5912,215,634,7442,5603,2308,6,5,5,5,5,5,5,4,4,4
TCGA-A1-A0SK-DX1_xmin45749_ymin25055_MPP-0.2500+69[0001].png,2140,2308,4436,1911,3127,6795,1813,3209,7442,6045,6,5,5,5,4,4,4,4,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+218[0001].png,3526,5937,5603,3088,8013,453,6795,7357,3026,2308,10,5,5,5,5,5,4,4,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+228[0001].png,4322,7249,3088,7695,3527,958,267,2031,3209,7189,7,6,5,5,5,5,4,4,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+229[0001].png,4311,3026,5834,4711,7442,3836,2666,7024,4430,840,6,6,5,5,5,5,5,5,5,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+231[0001].png,3836,2967,2226,7899,7808,2308,958,8101,3526,3889,7,6,6,6,5,5,5,5,5,5
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+232[0001].png,2308,3889,3823,3088,4711,7694,215,162,1842,2140,7,6,5,5,5,5,5,5,5,5
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+242[0001].png,7694,215,5912,453,6321,582,2226,4322,601,4430,6,6,5,5,5,5,5,5,5,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+243[0001].png,3889,7134,5912,8013,3469,2226,3088,840,5207,958,6,6,5,5,5,5,5,4,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+245[0001].png,2226,3889,1203,3088,4322,7694,5428,7249,7024,4711,9,6,5,5,5,5,5,4,4,4
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0.2500+259[0001].png,2226,6226,6869,4322,958,6678,8140,5194,6321,6902,12,6,5,5,5,5,4,4,4,4
TCGA-A2-A04P-DX1_xmin104246_ymin48517_MPP-0.2500+32[0001].png,781,7899,7459,7853,1298,4693,2870,6227,2557,675,7,5,5,5,5,4,4,4,4,4
TCGA-A2-A04T-DX1_xmin72145_ymin39078_MPP-0.2500+112[0001].png,131,7028,2083,6045,7189,8081,958,2226,4559,7459,9,7,6,5,5,5,5,5,5,5
TCGA-A2-A04T-DX1_xmin72145_ymin39078_MPP-0.2500+113[0001].png,2320,7459,7948,632,7484,629,6226,601,6045,2043,9,8,8,7,6,5,5,4,4,4
TCGA-A2-A04T-DX1_xmin72145_ymin39078_MPP-0.2500+121[0001].png,131,2226,6321,7694,4711,7249,7948,2876,5702,2686,7,5,5,5,4,4,4,4,4,4
TCGA-A2-A04T-DX1_xmin72145_ymin39078_MPP-0.2500+122[0001].png,2083,4080,2308,6121,3088,8013,697,6512,3044,5780,6,5,5,5,5,4,4,4,4,4
TCGA-A2-A04T-DX1_xmin72145_ymin39078_MPP-0.2500+123[0001].png,958,1911,131,7674,4715,145,2018,6036,5735,3896,6,6,5,5,5,5,5,4,4,4
TCGA-A2-A04T-DX1_xmin72145_ymin39078_MPP-0.2500+132[0001].png,7948,6321,6045,3849,778,2320,1569,7459,2062,8110,7,6,5,5,5,5,5,4,4,4
TCGA-A2-A04T-DX1_xmin72145_ymin39078_MPP-0.2500+133[0001].png,958,7674,5702,6226,7948,5780,6321,5207,4250,6795,7,6,6,6,5,5,5,5,5,5
